text,label
My babies pussy is too tight today.,1
". & I are discussing our awful 90s fashion choices: yellow overall shorts, boxers over leggings. What was your bes&#8230;",0
You can buy bitches/ho's etc tho,1
thanks bitch,1
bitch I texted you,1
Thick red bones in style or nah? &#127817;,0
""": im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1
Currently taking over ur bitches brain with my creativity and wierdness.,1
bitch I got some bloods dat hang in la,1
' Lemme find out you didn't answer my call cause you otp with that niggah &#1041204;,1
*waits for Fanduel to hit me with the jig*,0
Jihadis Turn Washington National Cathedral Into Mosque For Friday Prayers #lnyhbt #ccot #teaparty #gop #tgdn,0
Show your support during #FleetWeekNYC with #troopthanks. You could be on the billboard in Times Sq!,0
&#128514;&#128557;&#128128; Hood hoes love Harrell football team&#128528;,1
Bad bitch,1
happy birthday bad bitch,1
&#8220;: stupid bitch!&#8221;,1
"Wow, Charlie Strong is cleaning house. Might be upwards of 10 released before he is done.",0
Even Humming birds like the stuff,0
"ew pussy buy a fucking xbone , u got dat Puppy muny",1
You following a whole bunch of bitches that look better than your girl don't do nothin but make you wanna cheat more,1
I bet I can pull at lease 3 bitches with them &#128514;&#128514;,1
A good woman comes around every 3 bitches. A good man comes around.......well u get the point,1
"Derek Jeter gets it done! J.J. Hardy commits error on slow grounder, and 2 runs score. Yankees take 4-2 lead in 7th innin&#8230;",0
"just because you ""not official"" doesnt mean you can act like complete trash and be free from acting like a decent human being",0
Everyone is talking about LeBron James or The Voice and I'm just here eating cream filling out of Oreos.,0
Approximately 1/2 in one crash. There wasn't supposed to be that many members of a seal team on one bird,0
These fine bitches are prolly poopin and flat ironing they hair to no flex zone right now...,1
"And you a bitch.. Even when you say you love me, you a bitch. I pray you crash like Caroline into a ditch.",1
"&#8220;: ""This was hung in the boys bathroom..."" - St. Dominic silly bitches.",1
"Always bro niggas get crazy in any weather "": This weather is trash"" OD,But we gon get c&#8230;",1
Let me delete that for the little bitch Reports me to Mr.Olsen &#128514;,1
If train officers that are wearing body armor stand back to watch the smoke clear. Why does every gun ho wanna be...,0
"VICTORY! #Yankees outlast A's, 10-9 in 14 innings. Eduardo Nunez the hero, and oh yeah, FIRST PLACE still resides in the Bronx.",0
"You fuck up , I try to be nice. I fuck up , you go ape shit and stay mad. Wtf haha",1
Some birds aren't meant to be caged,0
"Y'all can have these so called ""bad bitches"". I'm looking for a nerd like Rocky Balboa had.",1
vertical nip bars..I already have horizontal ones so I think it'll look hella cute,0
""": hoe ass nigga. &#128529;""Hoe Ass Nigga x2",1
That pussy can't be that hairy shit gotta stink lol,1
Reaper drones pinpoint Jihadi John via,0
don't forget we gotta take out trash and need milk...and spermicidal lube,0
"Yankees offseason plan: Sign Sandoval, move A-Rod to first base, shoot Teixeira and throw his corpse in the East River. #Y&#8230;",0
Charlie Crist says OCare has been great? #ccot #tcot #teaparty #PJNET #Independents htt&#8230;,0
&#8220;: Fat bitches are rapist&#8221; &#128557;&#128557;&#128557;,1
I think Zlatan even has Class in the way he talks trash,0
He's trash tho &#8220;: Its 10 Million Naira If You Want Me On Your Song &#8211; Wizkid via &#8221;,0
your just building the pussy up lmao!,1
how do Yankees fans look back on Gary Sheffield's time with the team?,0
You just can't give hillbillies an audience. They'll squander it every time.,1
""": A smuggler explains how he helped fighters along the ""Jihadi Highway"":",0
&#128520;&#127383; we snap chatted for one night lol. But you're cute. Snapchat me back nig,0
What barrel of trash doesn't smell as bad? RT Imagine Dragons or Nickelback?,0
Idc I still watch two & a half men . Well the old one with Charlie,0
You're standing on a slippery slope where it's all too easy to... More for Libra,0
&#8220;: yeah hoe!&#8221; But the babies are innocent lol so Gabriella still got her sister a birthd&#8230;,0
blue-sapphire-earrings 18k-yellow-gold-clip-on-diamond Alexandra Earrings in Emerald Crystal on Emma,0
Idk why bitches think they players lol bitches have zero game,1
Lmao if I catch u in tha field I'm blowin &#128299;&#128168;&#128299;&#128168;&#128299;&#128168;&#8220;: shut yo bitch ass up opp lol&#8221;,1
which one bobby bitch or hot nigga?,1
How can anyone hate Charlie Sheen,0
"one time for the real niggas , two times for the bad bitches .",1
"Him: your nudes are safe with me. Her: *sends nudes* Him: *calls homie* aye, why this hoe send me this trash ass nude, yu &#8230;",1
You're responsible for the story inside you. Don't let self-doubt cripple your #creativity. #AmEditing #AmWriting #WriteTip,0
Ladies listen NO nigga wants to settle down at a young age. All you bitches crying about being single now will be wifed in 1&#8230;,1
My favorite DC restaurant is Charlie Palmers.,0
"lmao take off thru, quavo can't do shit but make hooks, offset da only 1 solid but I kno niccas been tellin him dat",1
remember in a relationship.. her friends are NOT yours.. &#128581; they'll let her be a hoe...,1
Jameis Winston is a nigger,1
Log off nigger #relationshipgoals,0
Fuck she's a basic bitch,1
Fran is a hillbilly Virginia mountain man who has pre-1800s white Anglo-Saxon beliefs #frankensteinMD #kikme,0
ho no. Without ur vote we lost the election. AK49 is taking oath as PM today. :-),0
"Go pray in a church or something fag, no one cares about your religious bullshit.",1
Rescue elephant calf &#8216;Nunai&#8217; looking fuzzy at the International Fund for Animal Welfare Rehabilitati,0
&#8220;: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,1
. loves Austin: Webber such a boon for . #6HCOTA,0
Fuck around and waste my time and I'll fuck that bitch you hate and that one friend you love&#9996;&#65039;,1
I much prefer this classic blue and yellow Rams uniform to anything we've seen since that magical year. Not even close #st&#8230;,0
Rare pic of trash posing with trash,1
Old bitches love having a garden...,1
This why I be on the bitches so much they LISTEN to Me &#128680;&#128680;&#128680;,1
"i'm sorry but if you don't eat seafood solely by the fact that it's from the ocean, you are seriously an unrespectable pussy.",1
"this some bullshit, bitch. Show Lana Kane.",1
On my way to fuck your bitch.,1
I guess my confessions trash because none of them got posted- FAMU,0
I be waking niccas up lol,1
Brownies brownies brownies,0
not home. Headed to work sorry ho,1
Now I'm gook boy shawty,0
"If I respect you, I demand your respect back. If you think you can be a bitch, I can be an even bigger one. Bring it",1
&#128514;&#128514;&#128514; AO got bitches at home scrolling IG like ...,1
You&#8217;re a little bitch my team got blown out in the Super Bowl,1
These UT hoes be goin !!!!!!,1
no not tonight you're gonna hoe tomorrow,1
its pretty easy actually. I'm just the cashier. Right now I'm eating those animal crackers lolol :),0
u will see it on Saturday and if u don't show up then your a bitch made nigga pussy ass nigga,1
Explains why they're waving trash bags around over their heads.,0
&#8220;: #AskAugust How Tall are you? I keep getting different answers from different people &#127806;&#128064;&#127806; &#8221;< abo&#8230;,0
"&#8220;: "": Actually, I take that back &#128530; you niggas ain't loyal"" im loyal fam&#8221; nah negro nah",1
Stupid ass hoe,1
"When bitches know they feeling stupid, they keep there sentences short.",1
would help for some others can't handle uppers and cripples them plus if moderation isn't taken into consideration it'll be bad,0
"yeah, these bitches aint shit tho",1
you want my pussy so bad,1
He actually good lol don't hoe him. But I mean that's some road to glory shit >Go to Northern Illinois* *Undefeated & Heisman*,1
"Do you have a nickname? What is it? &#8212; Tator, Tator tot, Tightey whitey, whitey Jr, Taylor whitey pants, agent ti...",0
Fuck all u stupid hoes #idgafmode,1
